id,title,publish_date,cluster_id,pca_x,pca_y,author_count,category_count,categories_joined,authors_joined,keywords_joined,top_conference,url
1708.03152v2,"Towards Neural Speaker Modeling in Multi-Party Conversation: The Task, Dataset, and Models",2017-08-10,0,0.031131832,0.07709886,3,1,cs.CL,Zhao Meng | Lili Mou | Zhi Jin,towards | neural | speaker | modeling | multiparty | conversation | task | dataset | models | networkbased | dialog | systems | attracting | increasing | attention | academia | industry | recently | researchers | begun,,http://arxiv.org/abs/1708.03152v2
1708.03492v1,Break it Down for Me: A Study in Automated Lyric Annotation,2017-08-11,4,-0.063926555,0.046227682,5,1,cs.CL,Lucas Sterckx | Jason Naradowsky | Bill Byrne | Thomas Demeester | Chris Develder,break | study | automated | lyric | annotation | comprehending | lyrics | found | songs | poems | pose | challenge | human | machine | readers | alike | motivates | need | systems | understand,EMNLP 2017,http://arxiv.org/abs/1708.03492v1
1708.03541v1,Automatic Identification of AltLexes using Monolingual Parallel Corpora,2017-08-11,1,-0.087758765,0.010473027,2,1,cs.CL,Elnaz Davoodi | Leila Kosseim,automatic | identification | altlexes | using | monolingual | parallel | corpora | discourse | relations | still | challenging | task | natural | language | processing | connectives | since | informative | cues | identify,,http://arxiv.org/abs/1708.03541v1
1708.04120v2,Putting Self-Supervised Token Embedding on the Tables,2017-07-28,1,0.0065867086,-0.09873117,3,2,cs.IR | cs.CL,Marc Szafraniec | Gautier Marti | Philippe Donnat,putting | selfsupervised | token | embedding | tables | information | distribution | electronic | messages | privileged | means | transmission | many | businesses | individuals | often | form | plaintext | number | grows,,http://arxiv.org/abs/1708.04120v2
1708.05449v1,An Annotated Corpus of Relational Strategies in Customer Service,2017-08-18,4,-0.2046316,0.1388414,3,1,cs.CL,Ian Beaver | Cynthia Freeman | Abdullah Mueen,annotated | corpus | relational | strategies | customer | service | create | release | first | publicly | available | commercial | segments | humancomputer | data | three | live | intelligent | virtual | agents,,http://arxiv.org/abs/1708.05449v1
1708.05682v1,An Improved Residual LSTM Architecture for Acoustic Modeling,2017-08-17,2,0.26820958,0.071191624,4,3,cs.CL | cs.AI | cs.SD,Lu Huang | Jiasong Sun | Ji Xu | Yi Yang,improved | residual | lstm | architecture | acoustic | modeling | long | shortterm | memory | primary | recurrent | neural | networks | automatic | speech | recognition | systems | learning | efficient | method,,http://arxiv.org/abs/1708.05682v1
1708.05803v1,Measuring the Effect of Discourse Relations on Blog Summarization,2017-08-19,4,-0.28917623,0.07619454,2,1,cs.CL,Shamima Mithun | Leila Kosseim,measuring | effect | discourse | relations | blog | summarization | work | presented | paper | attempts | evaluate | quantify | use | context | compare | traditional | factual | texts | specifically | measured,IJCNLP 2013,http://arxiv.org/abs/1708.05803v1
1708.07624v2,SPARQL as a Foreign Language,2017-08-25,1,-0.054834276,-0.056115083,7,2,cs.CL | cs.DB,Tommaso Soru | Edgard Marx | Diego Moussallem | Gustavo Publio | André Valdestilhas | Diego Esteves | Ciro Baron Neto,sparql | foreign | language | last | years | linked | data | cloud | achieved | size | billion | facts | pertaining | multitude | domains | however | accessing | information | significantly | challenging,,http://arxiv.org/abs/1708.07624v2
1708.08484v1,Joint Syntacto-Discourse Parsing and the Syntacto-Discourse Treebank,2017-08-29,3,0.01731741,0.03766419,2,1,cs.CL,Kai Zhao | Liang Huang,joint | syntactodiscourse | parsing | treebank | discourse | long | treated | standalone | problem | independent | constituency | dependency | attempts | pipelined | rather | endtoend | sophisticated | selfcontained | assume | goldstandard,EMNLP 2017,http://arxiv.org/abs/1708.08484v1
1708.09609v1,Identifying Products in Online Cybercrime Marketplaces: A Dataset for Fine-grained Domain Adaptation,2017-08-31,4,-0.10001593,-0.031552892,8,1,cs.CL,Greg Durrett | Jonathan K. Kummerfeld | Taylor Berg-Kirkpatrick | Rebecca S. Portnoff | Sadia Afroz | Damon McCoy | Kirill Levchenko | Vern Paxson,identifying | products | online | cybercrime | marketplaces | dataset | finegrained | domain | adaptation | one | weakness | machinelearned | nlp | models | typically | perform | poorly | outofdomain | data | work,EMNLP 2017,http://arxiv.org/abs/1708.09609v1
1709.00155v1,Order-Planning Neural Text Generation From Structured Data,2017-09-01,3,-0.059042644,-0.030614756,7,4,cs.CL | cs.AI | cs.IR | cs.LG,Lei Sha | Lili Mou | Tianyu Liu | Pascal Poupart | Sujian Li | Baobao Chang | Zhifang Sui,orderplanning | neural | text | generation | structured | data | generating | texts | eg | table | important | various | natural | language | processing | tasks | question | answering | dialog | systems,,http://arxiv.org/abs/1709.00155v1
1709.00917v1,Using Optimal Ratio Mask as Training Target for Supervised Speech Separation,2017-09-04,2,0.22554412,0.12442429,3,2,cs.SD | cs.CL,Shasha Xia | Hao Li | Xueliang Zhang,using | optimal | ratio | mask | training | target | supervised | speech | separation | uses | learning | algorithms | learn | mapping | input | noisy | signal | output | fast | development,,http://arxiv.org/abs/1709.00917v1
1709.01042v1,Getting Reliable Annotations for Sarcasm in Online Dialogues,2017-09-05,4,-0.1801805,0.20342618,5,1,cs.CL,Reid Swanson | Stephanie Lukin | Luke Eisenberg | Thomas Chase Corcoran | Marilyn A. Walker,getting | reliable | annotations | sarcasm | online | dialogues | language | used | forums | differs | many | ways | traditional | resources | news | one | difference | use | frequency | nonliteral,,http://arxiv.org/abs/1709.01042v1
1709.05074v1,A Deep Generative Framework for Paraphrase Generation,2017-09-15,3,0.015928103,0.01919404,4,1,cs.CL,Ankush Gupta | Arvind Agarwal | Prawaan Singh | Piyush Rai,deep | generative | framework | paraphrase | generation | important | problem | nlp | especially | question | answering | information | retrieval | extraction | conversation | systems | name | paper | address | generating,,http://arxiv.org/abs/1709.05074v1
1709.05413v1,"""How May I Help You?"": Modeling Twitter Customer Service Conversations Using Fine-Grained Dialogue Acts",2017-09-16,4,-0.13068058,0.16050021,5,1,cs.CL,Shereen Oraby | Pritam Gundecha | Jalal Mahmud | Mansurul Bhuiyan | Rama Akkiraju,may | help | modeling | twitter | customer | service | conversations | using | finegrained | dialogue | acts | given | increasing | popularity | analysis | conversation | data | essential | understand | trends,,http://arxiv.org/abs/1709.05413v1
1709.05631v2,Unwritten Languages Demand Attention Too! Word Discovery with Encoder-Decoder Models,2017-09-17,3,0.07605315,-0.03708588,4,1,cs.CL,Marcely Zanon Boito | Alexandre Berard | Aline Villavicencio | Laurent Besacier,unwritten | languages | demand | attention | word | discovery | encoderdecoder | models | task | extracting | words | unsegmented | text | paper | examine | extent | neural | networks | applied | realistic,,http://arxiv.org/abs/1709.05631v2
1709.06365v1,MetaLDA: a Topic Model that Efficiently Incorporates Meta information,2017-09-19,3,-0.06257672,-0.049800213,4,2,cs.CL | stat.AP,He Zhao | Lan Du | Wray Buntine | Gang Liu,metalda | topic | model | efficiently | incorporates | meta | information | besides | text | content | documents | associated | words | usually | come | rich | sets | informa | tion | categories,,http://arxiv.org/abs/1709.06365v1
1709.07104v2,On the Use of Machine Translation-Based Approaches for Vietnamese Diacritic Restoration,2017-09-21,5,0.17372039,0.0906903,3,1,cs.CL,Thai-Hoang Pham | Xuan-Khoai Pham | Phuong Le-Hong,use | machine | translationbased | approaches | vietnamese | diacritic | restoration | paper | presents | empirical | study | two | problem | including | phrasebased | neuralbased | translation | models | first | work,,http://arxiv.org/abs/1709.07104v2
1709.07840v1,Challenging Neural Dialogue Models with Natural Data: Memory Networks Fail on Incremental Phenomena,2017-09-23,3,0.037044182,0.17593484,3,1,cs.CL,Igor Shalyminov | Arash Eshghi | Oliver Lemon,challenging | neural | dialogue | models | natural | data | memory | networks | fail | incremental | phenomena | spontaneous | proceeds | incrementally | wordbyword | basis | contains | many | sorts | disfluency,,http://arxiv.org/abs/1709.07840v1
1709.09741v1,WHY: Natural Explanations from a Robot Navigator,2017-09-28,3,-0.10850635,0.1782912,4,4,cs.AI | cs.CL | cs.HC | cs.RO,Raj Korpan | Susan L. Epstein | Anoop Aroor | Gil Dekel,natural | explanations | robot | navigator | effective | collaboration | person | requires | communication | travels | human | companion | able | explain | navigation | behavior | language | paper | explains | cognitivelybased,AAAI 2017,http://arxiv.org/abs/1709.09741v1
1710.00164v1,Speaker Role Contextual Modeling for Language Understanding and Dialogue Policy Learning,2017-09-30,0,0.0059386333,0.18932799,4,1,cs.CL,Ta-Chung Chi | Po-Chun Chen | Shang-Yu Su | Yun-Nung Chen,speaker | role | contextual | modeling | language | understanding | dialogue | policy | learning | lu | two | essential | components | conversational | systems | humanhuman | dialogues | wellcontrolled | often | random,IJCNLP 2017,http://arxiv.org/abs/1710.00164v1
1710.00205v1,Bag-of-Vector Embeddings of Dependency Graphs for Semantic Induction,2017-09-30,1,0.120145254,-0.2103981,2,1,cs.CL,Diana Nicoleta Popa | James Henderson,bagofvector | embeddings | dependency | graphs | semantic | induction | vectorspace | models | word | neural | network | parsers | many | advantages | nlp | generalise | fixedlength | vectors | vector | space,,http://arxiv.org/abs/1710.00205v1
1710.00273v2,What Words Do We Use to Lie?: Word Choice in Deceptive Messages,2017-10-01,3,-0.11193062,0.19776434,4,1,cs.CL,Jason Xiaotian Dou | Michelle Liu | Haaris Muneer | Adam Schlussel,words | use | lie | word | choice | deceptive | messages | text | messaging | widely | used | form | computermediated | communication | cmc | previous | findings | shown | linguistic | factors,,http://arxiv.org/abs/1710.00273v2
1710.00888v2,Sentiment Perception of Readers and Writers in Emoji use,2017-10-03,4,-0.24879608,0.20792583,2,3,cs.IR | cs.CL | cs.HC,Jose Berengueres | Dani Castro,sentiment | perception | readers | writers | emoji | use | previous | research | traditionally | analyzed | point | view | reader | content | author | analyze | present | benchmark | built | employee,,http://arxiv.org/abs/1710.00888v2
1710.01779v2,Building a Web-Scale Dependency-Parsed Corpus from CommonCrawl,2017-10-05,1,-0.111190416,-0.1360376,5,1,cs.CL,Alexander Panchenko | Eugen Ruppert | Stefano Faralli | Simone Paolo Ponzetto | Chris Biemann,building | webscale | dependencyparsed | corpus | commoncrawl | present | depcc | largesttodate | linguistically | analyzed | english | including | million | documents | composed | billion | tokens | named | entity | occurrences,,http://arxiv.org/abs/1710.01779v2
1710.02093v3,Morphology Generation for Statistical Machine Translation,2017-10-06,3,0.06613185,0.11004219,2,1,cs.CL,Sreelekha S | Pushpak Bhattacharyya,morphology | generation | statistical | machine | translation | translating | morphologically | rich | languages | mt | approaches | face | problem | data | sparsity | severity | sparseness | high | corpus | size,,http://arxiv.org/abs/1710.02093v3
1710.02973v1,LD-SDS: Towards an Expressive Spoken Dialogue System based on Linked-Data,2017-10-09,0,-0.092399195,0.08062843,6,2,cs.IR | cs.CL,Alexandros Papangelis | Panagiotis Papadakos | Margarita Kotti | Yannis Stylianou | Yannis Tzitzikas | Dimitris Plexousakis,ldsds | towards | expressive | spoken | dialogue | system | based | linkeddata | work | discuss | related | challenges | describe | approach | fusion | stateoftheart | technologies | systems | sds | semantic,,http://arxiv.org/abs/1710.02973v1
1710.03430v3,Learning to Rank Question-Answer Pairs using Hierarchical Recurrent Encoder with Latent Topic Clustering,2017-10-10,2,0.047873665,-0.045116335,3,2,cs.CL | cs.AI,Seunghyun Yoon | Joongbo Shin | Kyomin Jung,learning | rank | questionanswer | pairs | using | hierarchical | recurrent | encoder | latent | topic | clustering | paper | propose | novel | endtoend | neural | architecture | ranking | candidate | answers,NAACL 2018,http://arxiv.org/abs/1710.03430v3
1710.03501v3,A Very Low Resource Language Speech Corpus for Computational Language Documentation Experiments,2017-10-10,3,0.025138088,0.15600114,14,1,cs.CL,P. Godard | G. Adda | M. Adda-Decker | J. Benjumea | L. Besacier | J. Cooper-Leavitt | G-N. Kouarata | L. Lamel | H. Maynard | M. Mueller | A. Rialland | S. Stueker | F. Yvon | M. Zanon-Boito,low | resource | language | speech | corpus | computational | documentation | experiments | technologies | trained | massive | amounts | text | information | however | world | languages | resources | stable | orthography,,http://arxiv.org/abs/1710.03501v3
1710.04087v3,Word Translation Without Parallel Data,2017-10-11,3,0.12875026,-0.034194913,5,1,cs.CL,Alexis Conneau | Guillaume Lample | Marc'Aurelio Ranzato | Ludovic Denoyer | Hervé Jégou,word | translation | without | parallel | data | stateoftheart | methods | learning | crosslingual | embeddings | relied | bilingual | dictionaries | corpora | recent | studies | showed | need | supervision | alleviated,ICLR 2018,http://arxiv.org/abs/1710.04087v3
1710.06700v1,Build Fast and Accurate Lemmatization for Arabic,2017-10-18,3,-0.02027267,-0.030980146,1,1,cs.CL,Hamdy Mubarak,build | fast | accurate | lemmatization | arabic | paper | describe | complexity | building | lemmatizer | rich | complex | derivational | morphology | discuss | need | lammatization | enhance | information | retrieval,,http://arxiv.org/abs/1710.06700v1
1710.06923v1,Adapting general-purpose speech recognition engine output for domain-specific natural language question answering,2017-10-12,0,0.12052955,0.17118073,2,2,cs.CL | cs.AI,C. Anantaram | Sunil Kumar Kopparapu,adapting | generalpurpose | speech | recognition | engine | output | domainspecific | natural | language | question | answering | speechbased | questionanswering | interfaces | enterprise | systems | gaining | lot | attention | engines,,http://arxiv.org/abs/1710.06923v1
1710.09026v2,Trace norm regularization and faster inference for embedded speech recognition RNNs,2017-10-25,2,0.21840128,-0.10785684,5,4,cs.LG | cs.CL | eess.AS | stat.ML,Markus Kliegl | Siddharth Goyal | Kexin Zhao | Kavya Srinet | Mohammad Shoeybi,trace | norm | regularization | faster | inference | embedded | speech | recognition | rnns | propose | evaluate | new | techniques | compressing | speeding | dense | matrix | multiplications | found | fully,ICLR 2018,http://arxiv.org/abs/1710.09026v2
1711.01731v3,A Survey on Dialogue Systems: Recent Advances and New Frontiers,2017-11-06,0,-0.032019038,0.20111665,4,1,cs.CL,Hongshen Chen | Xiaorui Liu | Dawei Yin | Jiliang Tang,survey | dialogue | systems | recent | advances | new | frontiers | attracted | attention | overwhelmingly | contributed | deep | learning | techniques | employed | enhance | wide | range | big | data,,http://arxiv.org/abs/1711.01731v3
1711.02608v1,Extractive Multi-document Summarization Using Multilayer Networks,2017-11-08,1,-0.12606639,-0.085169725,2,1,cs.CL,Jorge V. Tohalino | Diego R. Amancio,extractive | multidocument | summarization | using | multilayer | networks | huge | volumes | textual | information | produced | every | single | day | order | organize | understand | large | datasets | recent,,http://arxiv.org/abs/1711.02608v1
1711.04731v2,Evaluating prose style transfer with the Bible,2017-11-14,3,-0.03938233,0.08174642,3,1,cs.CL,Keith Carlson | Allen Riddell | Daniel Rockmore,evaluating | prose | style | transfer | bible | task | system | provided | text | input | target | produces | output | preserves | meaning | alters | systems | require | parallel | data,,http://arxiv.org/abs/1711.04731v2
1711.05795v1,Finer Grained Entity Typing with TypeNet,2017-11-16,1,-0.11756369,-0.17340638,4,2,cs.CL | cs.NE,Shikhar Murty | Patrick Verga | Luke Vilnis | Andrew McCallum,finer | grained | entity | typing | typenet | consider | challenging | problem | extremely | fine | set | types | wherein | single | mention | many | simultaneous | often | hierarchicallystructured | despite,,http://arxiv.org/abs/1711.05795v1
1711.06004v1,Remedies against the Vocabulary Gap in Information Retrieval,2017-11-16,3,-0.14835204,-0.08128251,1,3,cs.IR | cs.AI | cs.CL,Christophe Van Gysel,remedies | vocabulary | gap | information | retrieval | search | engines | rely | heavily | termbased | approaches | represent | queries | documents | bags | words | texta | document | queryis | represented,,http://arxiv.org/abs/1711.06004v1
1711.06288v2,Language-Based Image Editing with Recurrent Attentive Models,2017-11-17,0,0.06435773,0.014998584,5,3,cs.CV | cs.CL | cs.LG,Jianbo Chen | Yelong Shen | Jianfeng Gao | Jingjing Liu | Xiaodong Liu,languagebased | image | editing | recurrent | attentive | models | investigate | problem | lbie | given | source | natural | language | description | want | generate | target | based | propose | generic,CVPR 2018,http://arxiv.org/abs/1711.06288v2
1711.07128v3,Hello Edge: Keyword Spotting on Microcontrollers,2017-11-20,2,0.059710883,0.004849115,4,5,cs.SD | cs.CL | cs.LG | cs.NE | eess.AS,Yundong Zhang | Naveen Suda | Liangzhen Lai | Vikas Chandra,hello | edge | keyword | spotting | microcontrollers | kws | critical | component | enabling | speech | based | user | interactions | smart | devices | requires | realtime | response | high | accuracy,,http://arxiv.org/abs/1711.07128v3
1711.11017v1,HoME: a Household Multimodal Environment,2017-11-30,0,0.04846455,0.07175161,9,6,cs.AI | cs.CL | cs.CV | cs.RO | cs.SD | eess.AS,Simon Brodeur | Ethan Perez | Ankesh Anand | Florian Golemo | Luca Celotti | Florian Strub | Jean Rouat | Hugo Larochelle | Aaron Courville,home | household | multimodal | environment | introduce | artificial | agents | learn | vision | audio | semantics | physics | interaction | objects | within | realistic | context | integrates | diverse | d,,http://arxiv.org/abs/1711.11017v1
1711.11486v1,Uncertainty Estimates for Efficient Neural Network-based Dialogue Policy Optimisation,2017-12-01,4,-0.03448788,0.14918397,3,4,stat.ML | cs.CL | cs.LG | cs.NE,Christopher Tegho | Paweł Budzianowski | Milica Gašić,uncertainty | estimates | efficient | neural | networkbased | dialogue | policy | optimisation | statistical | management | manager | learns | maps | belief | state | action | system | perform | exploration | key,,http://arxiv.org/abs/1711.11486v1
1712.01864v1,No Need for a Lexicon? Evaluating the Value of the Pronunciation Lexica in End-to-End Models,2017-12-06,3,0.09546872,0.036794364,12,4,cs.CL | cs.SD | eess.AS | stat.ML,Tara N. Sainath | Rohit Prabhavalkar | Shankar Kumar | Seungji Lee | Anjuli Kannan | David Rybach | Vlad Schogol | Patrick Nguyen | Bo Li | Yonghui Wu | Zhifeng Chen | Chung-Cheng Chiu,need | lexicon | evaluating | value | pronunciation | lexica | endtoend | models | decades | contextdependent | phonemes | dominant | subword | unit | conventional | acoustic | modeling | systems | status | quo,,http://arxiv.org/abs/1712.01864v1
